,Unnamed: 0,comment
107,107,"Kehancuran gara2 pada munafik. Bikin film di baperin dianggep asli, tersinggung ini itu gara2 film. Padahal kan ud tau film itu cuma cerita rekayasa"
108,108,"Masyallah,sedikit uang yang dipunya jika bersyukur,akan cukup untuk memenuhi kebutuhan,banyak harta yang dimiliki tak pernah cukup jika untuk memenuhi gengsi dan gaya hidup.sehat selalu om Indro,om Boneng,dan om Deddy🙏"
109,109,"Sehat slu para bintang senior, Amiin"
110,110,the best warkop
111,111,om ded undang pa tessy ceritain soal KKO angkatan laut
112,112,"Ada tuh scene nya om Indro... wktu om Kasino jualan koran di lampu merah ""ada tentara kena tipu"".. pas yg beli korannya juga tentara.. lalu om Kasino jualan lagi bilang ""satu tentara kena tipu"".. kalo gak salah itu film ""Six million dolar Dono"""
113,113,"Jd inget wktu kcil nonton layar tancep psti yg ditunggu film warkop,,"
114,114,Alhamdulillah Sehat terus ya om indro om boneng dn terimah kasih buat om dedy sdh undng lagi mereka 😇
115,115,"Sungguh luar biasa semoga Om Dedy, Om Indro dan Om boneng selalu di berikan kesehatan dan semakin sukses 🤲🤲👍"
116,116,"Waktu nonton warkop kadang suka ketuker mana om boneng sm om bokir, karya seniman pelawak paling legendaris selain pak haji bolot & hj malih. Om Indro selalu menghibur tiap hari & era warkop takkan prnh terlupakan. Semoga panjang umur, sehat2 selalu. Apresiasi wt Om Ded 🤗🙏"
117,117,Masa kecil ku dulu juga prnh terhbur ama om bonng om indroo
118,118,TIM memang asik tempat nokrong
119,119,legenda seniman indonesia
120,120,Aki boneng pemikirannya masih bagus seperti masih umur 40han
121,121,Om Boneng yng susah dilupakan buricak burinong giginya. Sehat selalu. Amiin
122,122,"47:55
Om indro ngasih kode ga sih maksudnya?"
123,123,"Indro : Lu ngeluh gak??
Pesan moralnya om boneng aja ngajar gak digaji gak ngeluh. Knp qt semua yg kerja masih aja ngeluh."
124,124,WARKOP DKI THE LEGEND OF COMEDY
125,125,"Tks warkop dki dan om diding boneng,,,karena karyamu masa kecil berarti🎉😅"
126,126,"Terima kasih om Indro dan om Boneng sudah membuat saya bahagia dan tertawa lebar di masa kecil saya ❤❤ , sehat selalu kalian om dan terus bisa berkarya ❤❤"
127,127,"Om boneng om indro memang 👍
Trimakasih telah menghibur kami dulu"
128,128,"ya allah pak boneng...dah lama gk keliat,alhamdulilah msh sht,smoga panjang umur sht sllu 🤲🙏maksh mas det sdh nampilin pak boneng,suka banget dulu main flm di warkop🙏🙏❤️❤️❤️"
129,129,"Ayo om Indro, om Boneng diajak lagi maen film....kalian berdua pasti sdh saling kenal karakter kan sdh lama main bareng dlm berapa episode"
130,130,"Di kasih Onde onde harusnya tuh biar lebih nostalgia lagi, 😁"
131,131,ga pernah ngeluh dan selalu happy= Panjang Umur
132,132,Onde onde... 🥰
133,133,seniman itu ijalan hidup  semoga para seniman indonesia terus ikhlas dalam berkarya
134,134,Kereeen bangettttt Om Indro dan Om Boneng. Selalu jadi panutan dimanapun dan kemanapun😇🥰🥰🥰
135,135,Komandan satpam laker😂
136,136,Terima kasih om Boneng dan om Indro... Banyak sekali ilmu yg saya dapat dari anda berdua.... 🙏 Thank's bngt om Deddy telah menghadirkan dua legend ini... 🙏🙏🙏
137,137,Didin boneng pelawak paling senior dan mudah di ingat mukanya😂
138,138,Om boneng jadi satpam lagi donk 😂😂😂
139,139,"Kenapa di film warkop reborn, bonenk gk di ajak mas indro...."
140,140,"Next Om Boneng
Transformasi H. Indro WARKOP dari 1979 hingga 2023 | WARKOP DKI
https://www.youtube.com/watch?v=7TTNIiJlkoM&t=70s"
141,141,"Podcast ini selalu daging semua isinya. Semoga semua panjang umur, dan semoga Pakde Boneng banyak yang menghargai keilmuan dan kemampuannya dan dapat hidup dari ilmunya."
142,142,31:03 ❤
143,143,"Episode Ini Mebahas Mengenai Kata ""Seniman"" Sejati..."
144,144,Jimi malau dong diundang juga
145,145,Tolong undang kurnia mega kiper  terbaik Indonesia
146,146,Bang onde2 ku ilang
147,147,"aku kelahiran 1996 dlu kalau pulang sekolah atau gak hari minggu senang banget nonton di tv sampe bapak beli kaset nya pasti 2 beli nya warkop dki & nike ardila
jadi kalau gk ikut ke kebun sama ortua hari minggu pasti nonton tv walau pake antena cuma bisa dpt 2 chanel RCTI & SCTV tapi serunya banget jadi kangen suasana tahun 2000an sampe 2003 masa” tv itu hiburan paling berharga di rumah tapi setelah 2013 ke atas tv kek gak guna 
skrng mah mau tv segede papan tulis di rumah juga gak pernah ada yg tonton 
paling nonton netflix lewat ipad hp semua 

makasih banyak warkop dki, nike ardila, sinetron” sctv rcti  dlu sudah menghibur masa” kecilku"
148,148,Kangen dengerin lagu obrolan warkop .. bisa ga ya request sama om Indro buat nyanyiin lagu itu lagi secara live ..
149,149,"Wah iye bener lg kata om indro, masalah seniman masuk politik hanya karena mentingin dirinya sendiri di politik,  dn utk menarik suara utk kepentingan partai dn juga individu nya, tp tdk memikirkan sesama seniman lain..
pedih bgt njiir.."
150,150,ke inget om boneng waktu jadi peran polisi terus makan kue kelepon😂
151,151,"Koq jadi netes air mataku dgr 2 legend ini ktemu, seandainya kasino sma dono msih hidup bkal seru lgi mreka kumpul trus cerita jaman mereka dlu😢"
152,152,Puh sepuh ampun sepuhh
153,153,mewek karena bangga ' salah satu lagend indonesia punya 😢😍
154,154,P
155,155,Perbedaan seniman sejati vs pekerja seni😂
156,156,"Keren,, ga taun seneng aja liat 2 legend warkop ini,,, bawaanya pengen ketawa..😅😅😅"
157,157,"tengkyu om ded dan juga crew om ded
udah ngundang duo legend yg menghibur tv hitam putih gue di jaman 90an
tengkyu semuaaaaaa"
158,158,Warkop Pak Boneng Onde-Onde ini yg memorable filmnya
159,159,Bersyukur dan slow living adalah kunci sukses hidup bahagia dunia akhirat
160,160,"Anak"" 80an 90an pasti inget kalau nonton dirumah tetangga belum mandi disuruh pulang ga boleh nonton 😂😂😂😂😂"
161,161,"Bajingan, ini episode favorit saya, i think om Ded bisa relate banget dengan ini. dia berbicara dengan para senior yang satu atmosfer, pembicaraan yang sangat berbobot dan menyentuh. Thanks for the Podcast! i Enjoy and Learn a lot from these Legends"
162,162,Om Boneng dan om Indro seniman sejati mengingatkan waktu aku kecil sangat menghibur krna homurisnya semoga sehat selalu panjang umur bnyak rezeki dan makin sukses amin ya rabbal alamin
163,163,Bang indro sering motong pembicaraan
164,164,"Nonton filmnya warkop yg pak Boneng yg LG ngelatih jadi sapam almarhum Dono,kasino,dan pak indro itu lucu bgt kelepak kelopok😂"
165,165,Kontenku sepi 😢 tapi gapapa demi org tua q akan bertahan
166,166,Seandainya om dono sm kasino masih ada pasti film komedi indonesia lebih jaya lagi😢
167,167,"""""eeeh ...keteeemu lagi....kata2 om diding jadi pelatih satpam laker..waktu ngejar2 om indro diserse dari latihan jadi satpam.."
168,168,Semoga sehat selalu om Boneng dan om Indro...
169,169,kakek saya adenya kake m.nuh  yang tinggal di pekayon pasar rebo.. rt 10 rw10 beliau sering dateng ke rumah kakaknya kake m nuh. . sampe istrinya kake mnuh atau nene saya nene naning meninggal beliau dateng sama keluarga besarnya om boneng. .. baik dan tidak sombong dan suka melicu 😊
170,170,"Jadi keinget dg ciri khas ketawa om boneng dlu wkt maen film bareng sama alm.dono,,alm.kasino sama om indro dlu masih terngiang jelas om..
Dan paling best emang film comedy jman dlu masuk disemua kalangan dr yg muda sampe yang tua 😊😁 sehat"" terus om indro dan om boneng 🙏🏻😇"
171,171,"Kalau nggak salah, istilah sinetron ditemukan oleh Arswendo Atmowiloto, singkatan dari: sinema elektronik."
172,172,inilah artis yg tak pernah sy lupakan sampai saat ini... terimakasih atas karyanya yg sudah menghibur mas Indro dan mas Diding alias Boneng 👍👍🙏🏻
173,173,Om Boneng Satpam 😂😂😂
174,174,Jen tek yong erik yudistira 2
175,175,Panjang umur dan sehat selalu untuk kalian ber2 om ❤❤❤
176,176,"46:13 saya paham arah om deddy tanya om indro, sehat"" om boneng 😊"
177,177,Masa kecilku sungguh penuh kenangan .lihat om Boneng . Nonton tv di rmh tetangga
178,178,"Nah ini nih tidak semua orang punya gaji,tp semua orang punya rejeki.
Sehat2 legend"
179,179,❤️❤️❤️❤️❤️❤️
180,180,Om Boneng dan Om Indro…. Alhamdulillah senantiasa sehat wal afiat. Makasih telah menghibur saya dan temen-temen saya di kampung kelahiran tahun 70-an. Paling ingat giginya om Boneng❤❤❤😊😊
181,181,Omongan ini seperti ilmu ma'rifat😂😂
182,182,Next FORTUNELA YG PUNYA BULU KETEK dong om
183,183,Terimakasih sudah membuat masa2 kecil kami tersenyum.
184,184,"KAPAN"" UNDANG BARRY PRIMA SAMA GEORGE RUDY.. MAS DEDY 🙏🙏

OM ENDRO OM BONENG SEHAT SELALU NGGEH"
185,185,https://youtu.be/xvlQKW5i6S0?si=X3MD23lYqeKum64b
186,186,mantab bang..
187,187,Itulh org yg brsyukur..
188,188,Dulu nonton mereka saya selalu tertawa. Sekarang setalah tau perjuangan dan ke solidan mereka dalam bersahabat saya menangia haru😢
189,189,"Orang-orang yang luar biasa, thank Deddy Corbuzier telah menghadirkan mereka... semoga semuanya sehat dan hidupnya diliputi dengan berkah.."
190,190,Good Joob bang Dedi trus berkarya
191,191,makasih Sdh menghibur masa kacil kami
192,192,Seniman jaman dulu berkarya untuk mengeksfresikan isi hatinya. Klo dapet iduit itu bonus. Beda pemikirannya sama seniman jaman sekarng. Seniman jaman sekarang di balik pikirannya yg berkarya untuk uang. Makanya karyanya asal asalan yg penting trending terus firal yg penting dapat cuan
193,193,seniman legend pokoknya
194,194,semangat terus buat om indro n om boneng yg telah menghibur kita semua 😂
195,195,Wah kek Boneng masih idup😮 semoga berkah
196,196,"""Seniman proyek"" atau aku biasanya bilang ""seni industri"", yang om Boneng bilang itu bener bangettt. saya lulusan dari kampus TIM itu, karena emang suka seni dan budaya Indonesia. niatnya dulu sih, mau beneran memperdalam seni dan ngarah jadi seniman, tapi apa daya situasi di kehidupan (apalagi zaman sekarang) nggak izinin saya buat ""berkarya aja, harga belakangan"" kayak gitu. akhirnya lulus dari sana, mau nggak mau jadi seniman proyek/industri yang masih cari gaji bulanan. sedih sebenernya, karena saya ngerasain banget nggak adanya keikhlasan ngebuat karya yang harus dipaksain selesai demi deadline tiap tiga hari sekali. ngerasain banget bisa sampe nangis karena hal yang dulu bikin saya bahagia sekarang rasanya malah kayak beban. balik lagi, apa daya, keadaan saya nggak memungkinkan buat ngelakuin itu.

tapi, tetep berharap buat nggak terus  kerja di industri. semoga sebentar lagi kalau keadaan dan kehidupan saya mulai tenang, bisa balik berkarya dengan seneng dan ikhlas kayak dulu sebelum saya belum punya tanggung jawab di keluarga sebesar ini.

sehat terus Om Boneng dan Om Indro!"
197,197,❤
198,198,"Film warkop, ketika boneng menjadi pelatih security😂😂😂"
199,199,Komandan Satpam Laker.......
200,200,Seniman komedi favorit.. Tahun 90an..semoga panjang umur dn sehat selalu.
201,201,Pada dasarnya manusia hidup untuk cerita
202,202,Komedian Senior ❤❤❤❤bang didin Boneng jg mas indro semoga sehat sllu...
203,203,Luar biasa Om Indro dan Om boneng terimakasih atas hasil karya yang telah menghibur dimasa kecil kami
204,204,tak kira udah meninggal kan film suzanna udah lama ya
205,205,"Yg gua inget lagi pelatihan satpam laker jatoh ke t4i kebo..

Kasino: ""bisa kena steffanus nih"" 🤣😂"
206,206,Ini nih gw suka
207,207,andai dono dan kasino masih ada pasti idupku terhibur
208,208,terharu lihat 2 legend bertemu kembali🥲
209,209,"Om dedi boleh usul gak, coba temuin dong om indro dg, om dorman borisman, dan om mat solar."
210,210,Kasihan om Boneng setiap di tanya selalu di potong sama om Indro.
211,211,Boneng yg suka onde ondee😂😂
212,212,"Trima Kasih Om Boneng & Om Indro Sudah Menghibur di masa kecil Tahun 90,an Smg Om Boneng & Om Indro serta keluarganya di Berikan kesehatan dn sukses sll senantiasa dlm lindungan Allah SWT Aamiiin Yra 🤲"
213,213,Sehat selalu Om Boneng Om Indro....Sosok yg mewarnai masa muda generasi 80an...
214,214,Sehat selalu semoga dalam lindungan yg maha kuasa buat orang orang baik 👌
215,215,Kumendan Satpam Laker 😂😂😂
216,216,"warkop DKI kenangan nongkrong sama tmn. hbis pulang sekolah,, apa lagi libur ada film Warkop,,itu yg di nantikan ❤️❤️❤️"
217,217,TERIMA KASIH THE LEGEND
218,218,Inget pas om boneng peran jadi orang gila ngakak abis...😅😅😅🎉
